company,country,city,postcode,hall,stand,segment,description,id
FEIG ELECTRONIC GmbH,Germany,Weilburg,35781,Hall 2.1,240,Public Transport,"Contactless payment terminals for validators, on-board computers, ticket machines and access systems ensure the greatest possible user comfort and maximum investment security for the operators of public transport systems.
RFID enables applications such as position detection or wayside detection.",1015340
FELA Management AG,Switzerland,Diessenhofen,8253,Hall 2.1,120,Public Transport,"You are a railroad operator and need a passenger information system? Are you looking for a ticketing system for your bus? Do you want to modernize your fleet? We would be happy to work out the ideal solution concept together. 

Visit us in hall 2.1 booth 230.",1015349
FEME  S.r.l.,Italy,Milano,20045,Hall 26,215,Railway Technology,"FEME srl is an Italian company with over a century of history — founded in 1924, it recently celebrated its centenary — specialising in the design and manufacture of electromechanical and electronic components and systems for the railway sector and for electrical power distribution infrastructure.",1221273
"FERESPE-Fundição de Ferro e Aço, Lda",Portugal,Famalicão,4760-485 Fradelos,Hall 11.2,220,Railway Technology,FERESPE: Your Certified Partner for High-Performance Railway Casting Solutions,1015406
Fernsteuergeräte Kurt Oelsch GmbH,Germany,Berlin,12347,Hall 27,315,Railway Technology,"FSG - Your partner for custom engineered system solutions in the field of industrial measuring and automatic control engineering.

Based in Berlin, FSG Fernsteuergeräte was founded in 1946. FSG is mainly involved in developing and manufacturing high-quality sensors and transmitters and is now one...",1015423
Ferrivia con s.r.o.,Czechia,Prag,18600,Hall 9,310,Public Transport,"Thanks to our extensive experience in the integration of ETCS systems for various rolling stock series, our expert team is ready to respond promptly to any assignment in this area. Based on our close cooperation with various European system manufacturers, we have gained extensive experience overlap",1226766
Ferrovie dello Stato Italiane,Italy,Roma,00161,"CityCube, Hall B; Outdoor Display",610; T2/16,Railway Infrastructure; Outdoor Display; Public Transport,"The FS Italiane Group operates approximately 17,000 kilometers of railway lines, including over 2,100 tunnels, 23,000 bridges and viaducts, and 2,200 stations. This extensive network has long supported Italy’s economic and social development, with 10,000 trains traveling on it daily. Ferrovie dello",1015439
FEV,Germany,Aachen,52078,Hall 6.1,515,Public Transport,"FEV is a global engineering partner driving innovation in rail and mobility. With expertise in systems, software and sustainable technologies, FEV develops efficient, intelligent solutions for modern rail transport - supporting a cleaner, connected future worldwide.",1015460
FEW Fahrzeug-und Entwicklungswerk Blankenburg GmbH,Germany,Blankenburg,38889,Hall 8.1,230,Railway Technology,"Tradition in der Eisenbahnindustrie
Einst war es die Reparaturwerkstatt der Halberstadt-Blankenburger Eisenbahn (HBE): das heutige Fahrzeug- und Entwicklungswerk Blankenburg GmbH (Harz). Die teilweise historischen Werkhallen haben eine bewegte Geschichte aufzuweisen.",1225191
"FH Aachen, Fachbereich Maschinenbau und Mechatronik",Germany,Aachen,52064,Hall 2.2,410,Railway Technology,,1015471
FIDA srl,Italy,Brugherio,20861,Hall 2.1; Outdoor Display,700; O/379,Railway Technology; Outdoor Display; World Innovations,"FIDA is an Italian manufacturer of Passenger Information Displays (PID) and lighting solutions for transport. We design TFT-LCD, LED and low power displays for harsh environments, with high visibility and remote monitoring. All products are engineered and made in Italy.",1015008
FILOform GmbH,Germany,Waldshut-Tiengen,79761,Hall 5.2,110,Railway Technology,"FILOform entwickelt innovative Lösungen für Verbindung, Abdichtung und Schutz unterirdischer Kabelnetze. Mit eigener F&E, maßgeschneiderten Produkten und Fokus auf Energie, Telekommunikation & Infrastruktur ist FILOform ein verlässlicher Partner für sichere und effiziente Netze.",1219294
Filter-Müller GmbH,Germany,Berlin,12277,Hall 10.2,305,Railway Technology,"Filter-Müller has been a specialist in the field of filtration for over 45 years. With its extensive product portfolio in the three core areas of automotive, industrial, and climate and ventilation filtration, we serve a wide range of diverse customers.",1015528
Filtration Control Ltd,United Kingdom,Northampton,NN4 7PL,Hall 3.1,660,Interiors,"Filtration Control Ltd (FCL) stands at the forefront as the leading manufacturer and distributor in the United Kingdom, specialising in engine filtration technology, HVAC air filtration, batteries and components for the bus, rail, automotive, commercial, and industrial sectors worldwide.",1015529
FIMOR,France,LE MANS,72000,Hall 5.2,370,Railway Technology,"FIMOR will showcase its new anti-drift wheel chock, designed and patented in partnership with Hexafret and validated by SNCF Réseau. This innovative solution significantly reduces the risk of derailment.",1015536
Finder GmbH,Germany,Trebur-Astheim,65468,Hall 17,470,Railway Technology,"Die Finder GmbH ist die deutsche Tochtergesellschaft der italienischen Unternehmensgruppe Finder S.p.A., einem Hersteller von elektromechanischen und elektronischen Komponenten, insbesondere Relais, Zeitrelais und Installationsgeräte.

Das Unternehmen bietet ein breites Sortiment für Anwendungen im",1222144
Fine Automotive & Industrial Radiators Pvt Ltd,India,Pondicherry,605111,Hall 18,190,Public Transport,,1221088
Finnblast Oy,Finland,Revonlahti,92350,Hall 6.2,750,Railway Technology,"Finnblast Oy is a Finnish, private owned engineering and manufacturing company specialized in blast cleaning machines. We have produced blast cleaning machines for 40 years. Our special offer for railway industry is the blast cleaning machine of wheel sets ...",1015569
Finnprofiles Oy,Finland,Sastamala,38200,Hall 3.1,420,Interiors,"Sealing solutions for the railway industry need to be safe, reliable and meet the high demands of the end user in order to make the travel experience as comfortable and enjoyable as possible.
 
FinnProfiles is specialized in custom-made extruded profiles, gaskets and molded components.",1016107
Fir.Ex. srl,Italy,Roma,00198,Hall 5.2,640,Tunnel Construction,The cutting edge aerosol solution for railways fire protection,1015588
"FIRSTACK TECHNOLOGY Co., LTD.",China,"Hangzhou, China",310011,Hall 11.1,110,Railway Infrastructure,,1219885
FirstClass Safety & Control Limited,United Kingdom,Colchester,CO2 8FZ,Hall 2.2,460,Railway Technology,"FirstClass Safety & Control are specialists in rail depot safety and control systems, delivering innovative Depot Protection and Depot Control solutions that protect people, assets and infrastructure. With over 25 years’ experience, we help rail operators improve safety, efficiency and performance",1015611
FISA Fabbrica Italiana Sedili Autoferroviari S.r.l,Italy,Osoppo (UD),33010,Hall 1.1,430,Interiors,We shape comfort since 1960,1015009
fischerwerke GmbH & Co. KG,Germany,Waldachtal,72178,Hall 5.2,765,Railway Infrastructure,"As the world’s technological market leader in key areas of fastening technology, fischer offers a wide range of fixing products in addition to numerous system solutions and services in categories including planning, construction and operation along the entire supply chain of a building.",1015634
Fisola,Portugal,Albergaria-a-Velha,3850-184,Hall 11.2,220,Railway Infrastructure,,1227388
FIT AG,Germany,Lupburg,92331,"CityCube, Hall B",320,Railway Technology,,1226003
FITRE S.p.A.,Italy,Milano,20142,Hall 4.1,375,Public Transport,"Fitre is a manufacturer with enviable experience in industrial and emergency telecommunications, with a wide range of products, offering the most advanced solutions for communications in Transports, Heavy Industries and other harsh environments. That is proven by countless worldwide installations.",1015671
FKB GmbH,Germany,Oberndorf a.N.,78727,Hall 8.2,140,Railway Technology,"FKB GmbH is a leading manufacturer of high-quality fastening systems, particularly block clamps and pipe clamps (acc. to DIN 3015) under the RSB® brand.",1015700
FLACHGLAS Wernberg GmbH,Germany,Wernberg-Köblitz,92533,Hall 1.1,420,,"FLACHGLAS Wernberg GmbH is one of the world's leading companies in the development and conception, manufacture and supply of sidewall windows and interior glazing for the Transportation market.",1015703
Flaig + Hommel GmbH - Verbindungselemente,Germany,Aldingen,78554,Hall 8.2,380,Railway Technology,"THE COMPANY FLAIG + HOMMEL, QUALITY, FLEXIBILITY, CUSTOMER ORIENTATION AND TECHNICAL KNOW-HOW",1015705
Flender GmbH,Germany,Bocholt,46395,Hall 20,340,Railway Technology,"FIRST-CLASS CONNECTIONS.

Focused on reliability and safety during both design and production, the Flender range of rail couplings ensures smooth travel for all rail vehicles.",1015749
FLEXA GmbH & Co Produktion und Vertrieb KG,Germany,Hanau,63456,Hall 12,370,Railway Technology,"FLEXA Protective tubing systems: On duty around the worldWhenever cables need to be protected, the protective cable systems made by FLEXA are most often first choice. The FLEXA protective system range can cope with almost any industrial application, be it in machine construction and railway.",1015762
FLEXBALL ITALIANA SRL,Italy,ORBASSANO,10043,Hall 20,500,Railway Technology,"In railway field since 1960, when the Flexball cable was introduced on the market, Flexball Italiana operates in the transport business with more than 100 customers including OEMs, End Users and distributors in Europe and worldwide.

Our strength is the development of customized applications and ...",1015763
FLEXELEC Groupe OMERIN,France,SAINT BONNET DE MURE,69720,Hall 14.1,120,Interiors,,1216286
Flexibil srl,Romania,Sasar,437229,Hall 9,720,Railway Technology,"Flexibil is supplying the Railway industry with rubber-metal components for 20 years. Flexibil’s core competences are spherical bearings and wedged shaped layer springs for drives and couplings, conical and chevron springs for primary suspension and multi layer springs for secondary suspensions.",1015768
FLEXIX S.A.U.,Spain,Zamudio,48170,Hall 21,314,Railway Infrastructure,"In KÄCHELE - FLEXIX we develop and produce RUBBER ANTIVIBRATION PARTS and assemblies, adapted to the customers needs.
MATERIALS: NR, SBR, EPDM, CR, NBR/HNBR, ECO, AEM, ACM, Silicone, FKM/FPM.
CAPABILITIES: Mixtures development, mixing room, product development, simulation, prototyping, automation.",1015772
FlixTrain,Germany,Berlin,10245,Hall 21.e,10,Public Transport; RecruitingLAB,"FlixTrain is reshaping long-distance rail travel in Germany: modern, affordable and built for the future. New routes, new standards and a new generation of high-speed trains from 2028. The journey is just beginning.",1015792
Flohe Berg GmbH,Germany,Castrop-Rauxel,44579,Hall 22,120,Railway Infrastructure,Kompetenz in Engineering + Fertigung von der einzelnen Komponenten bis hin zum komplexen HochstromsystemSeit über 60 Jahren steht der Name FLOHE für deutsche Qualitätserzeugnisse und umfangreiche Serviceleistungen in Sachen Hochstromtechnik.Vom Basic Engineering über die Konstruktion ...,1015799
Flora Bis Sp. z o.o.,Poland,Krzepice,42-160,Hall 5.2,645,Railway Infrastructure,"Flora Bis is a Polish manufacturer with over 30 years of experience in acoustic panels and steel structures for road infrastructure. We design, produce and deliver complete systems for projects across Poland and Europe, ensuring compliance with technical standards and long-term performance.",1214073
Flowly,Réunion,PARIS,75012,Hall 11.2,270,Public Transport,Flowly supports local authorities and transport operators in gaining a better understanding of travel patterns and analysing network performance.,1227032
Flowy,Italy,Firenze,50127,Hall 6.1,152,Public Transport,"We revolutionize public multimodal mobility through a smart platform for passenger analysis, advanced interaction like BeIn-BeOut ticketing, and real-time GPS vehicle tracking",1220234
Fluid Controls Limited,India,Mumbai,400020,Hall 10.2,215,World Innovations; Railway Technology,"With over 5 Decades of experience, Fluid Controls delivers end-to-end  solutions for locomotive, coach & metro brake piping arrangements – from design, engineering, and rigorous testing to  seamless on-site installation, we supply high-performance connectors, isolating cocks, cleats, tube & hose ass",1015860
FMC Hidrolik Otomotiv Makina Sanayi Ticaret A.S.,Türkiye,Selcuklu,42250,Hall 4.2,110,Railway Technology,,1015886
FOC Ciscato SpA,Italy,Velo d'Astico,36010,Hall 8.2,325,Railway Technology,"Renowned quality, reliability and flexibility is our hallmark. We manufacture tailor made products based on customer requirements. Our Team is very proactive and customer oriented. Thanks to our experience we can offer a wide range of products and a high-level service to our Customers.",1219395
FOGTEC Brandschutz GmbH,Germany,Köln,51063,Hall 5.2,735,Tunnel Construction,FOGTEC is the leading supplier of active fire protection solutions for railway industry and many other applications. FOGTEC develops fire detection and firefighting systems. The Rail products have been developed and tested especially for the use in railways.,1015919
Forbo Flooring Systems,United Kingdom,Derbyshire,DE5 3NT,Hall 3.1,320,Interiors,"The widest portfolio of sustainable floor coverings for rail vehicles, including entrance systems, resilient floor coverings and broadloom carpets: Coral FR, Marmoleum FR, Flotex VisionFR, Coral Move Vision FR, Tessera FR. All floor coverings are certified to EN 45545-2 with a minimum rating of HL2.",1015977
FORECR,Estonia,Tallinn,10141,Hall 7.1a,100,AI Mobility Lab; Public Transport,READY TO DEPLOY HARDWARE SOLUTIONS,1219985
Forge Auto International Limited,India,Ludhiana,141112,Hall 20,680,Railway Technology,Manufacturer of Forged & Machined Components in Carbon & Alloy Steel.,1215778
Forgex France,France,Monthermé,08800,Hall 11.2,270,Railway Infrastructure,"FORGEX France is a premier European industrial group specializing in high-quality hot forging. We design and manufacture custom carbon, alloy, and stainless steel parts (from a few grams up to 30 kg) with fully integrated machining, heat treatment, and surface finishing for the rail sector.",1016008
"FORGING STEEL PRODUCTS, S.L.",Spain,Amorebieta Bizkaia,E48340,Hall 22,700,Railway Infrastructure,"Rolling Stock
Infrastructure
Coengineering
Carbon
Alloy
Stainless Steels
Aluminium
4 Presses
4 Hammers
850mm lenght
550mm diameter
120kg steel
35kg aluminium
Mechanizing
Heat Treatment
Painting
Mechanical Tests
Scan3D
HPQ(DB)
IATF16949
ISO9001
ISO14001
BVMod.II
LLOYDS REGISTER MARINE
2024FOOTPRINT2",1016009
Forsee Power,France,Ivry Sur Seine,94200,Hall 15.1,330,Railway Technology,"Smart batteries are essential to rail greening projects and adapt to all given applications and environments: catenary-free trams, 100% battery trains, hybrid trains (diesel and batteries), hydrogen trains (fuel cell and batteries). They limit emissions, considerably reduce infrastructure costs!",1016027
Forster System-Montage-Technik GmbH,Germany,Forst (Lausitz),03149,Hall 1.1,400,Interiors,Zuverlässige Partner und Lieferanten im Schienenfahrzeugbereich I Systemlieferant I Vollausrüster I Leichtbau I Handel & Dienstleistung I,1016030
Fort Vale Engineering Ltd,United Kingdom,Burnley,BB12 7ND,Hall 2.2,560,Railway Technology,"A global leader in precision-engineered valves and fittings, Fort Vale supports the safe transport of bulk liquids and gases across rail, road, and tank container industries.
With around 90% of production exported, its solutions are trusted worldwide for their quality, reliability, and performance.",1016037
FORTAL,France,Barr,67140,Hall 6.2,700,Public Transport,"FORTAL is a leading French manufacturer of safe access solutions for working at height. With extensive expertise in aluminum and steel, we design standard and custom-made equipment for the maintenance of trains, trams, subways and buses.",1016039
FORTEC Integrated GmbH,Germany,Germering,82110,Hall 11.1,360,Interiors,"Your Partner for Innovation and System Solutions

FORTEC Integrated GmbH, as an internationally active provider of display technology, embedded computing and customized system solutions, stands for tailored solutions that integrate seamlessly into logistics processes.",1220185
FORTEC Power GmbH,Germany,Sachsenheim,74343,Hall 11.1,360,Railway Technology; World Innovations,"With locations in Riedstadt, Sachsenheim, and the Czech Republic, FORTEC Power—under its established AUTRONIC brand—offers decades of experience in developing compact, vibration-resistant, and EMC-certified plug-and-play power supplies for the railway sector.",1219881
FORTINET,France,Valbonne,06560,Hall 7.1a,296,Railway Technology; AI Mobility Lab,"Fortinet is a driving force in the development of cybersecurity and the convergence of networking and security. Our mission is to protect people, devices, and data everywhere. Today, we provide cybersecurity wherever our customers need it – with over 50 enterprise products.",1225729
FOSINA,France,Nanterre,92000,Hall 7.1a,280,AI Mobility Lab; Railway Technology,"FOSINA specializes in Distributed Fiber Optic Sensing for temperature, strain, and acoustic. Connected to conventional optical fiber and combined with AI, it allows to detect, classify, and visualize activity in real-time, for train tracking, infrastructure monitoring, and intrusion detection.",1209971
"FoxCom, s.r.o.",Czechia,Kadaň,432 01,Hall 23,230,World Innovations; Railway Infrastructure,"FoxCom builds software for railway infrastructure — diagnostics, data warehouses, analytics, and AI-based inspection and monitoring that help detect defects earlier.",1214681
Franz Kaminski Waggonbau GmbH,Germany,Hameln,31785,Hall 6.2,270,Railway Technology,"Franz Kaminski Waggonbau GmbH is an international waggon-maintenance and mechanical engineering company.
 It was founded in 1921 and since then, it stands for good quality.",1016175
Franz Kiel GmbH,Germany,Nördlingen,86720,Hall 1.1,270,Interiors,"We are one of leading manufacturers of seating systems for commercial vehicles and public transport by bus and train at local, regional, and intercity levels.",1016176
Fraunhofer Cluster of Excellence Circular Plastics Economy CCPE,Germany,Oberhausen,46047,Hall 23,240,Interiors,"The Fraunhofer Cluster of Excellence Circular Plastics Economy CCPE develops solutions for a circular plastics economy across the entire value chain. Through research into materials, recycling, and digital circular economy concepts, the cluster supports companies in achieving greater sustainability.",1226725
Fraunhofer IKTS,Germany,Dresden,01109,Hall 7.2b,200,Railway Technology,Your research partner for safety in the rail sector: NDT and monitoring of railway technology and infrastructure.,1123182
Fraunhofer-Allianz Verkehr,Germany,Saarbrücken,66123,Hall 23,240,Railway Technology,Fraunhofer Transport Alliance – Best solutions for future mobility through joint research expertise.,1016226
Fraunhofer-Gesellschaft,Germany,München,80686,Hall 23,240,Railway Infrastructure,"The Fraunhofer-Gesellschaft, based in Germany, is a leading applied research organization. It plays a crucial role in the innovation process by prioritizing research in key future technologies and transferring its research findings to industry in order to strengthen Germany.",1016228
Fraunhofer-Institut für Offene Kommunikationssysteme FOKUS,Germany,Berlin,10589,"CityCube, Hall B",220,Railway Technology,At InnoTrans 2026 Fraunhofer FOKUS shows AI for Safe and Scalable Rail Automation,1016254
Fraunhofer-Institut für Physikalische Messtechnik IPM,Germany,Freiburg,79110,Hall 23,240,Railway Infrastructure,,1016255
Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme IVI,Germany,Dresden,01069,Hall 7.2b,100,Railway Technology,,1220178
Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren IZFP,Germany,Saarbrücken,66123,Hall 23,240,Railway Technology,"Fraunhofer IZFP - Sensor and Data Systems for Safety, Sustainability, and Efficiency",1227175
Frauscher Sensortechnik GmbH,Austria,St. Marienkirchen bei Schärding,4774,Hall 1.2; Hall 27,270; 210,Railway Technology; World Innovations,"Frauscher Sensor Technology is dedicated to delivering the world’s most reliable train detection and wayside object control solutions, as well as a comprehensive portfolio beyond.",1016273
FreiLacke  |  Emil Frei GmbH & Co. KG,Germany,Bräunlingen-Döggingen,78199,Hall 8.1,310,Railway Technology,"100 years of colours. FreiLacke has stood for innovative paints and coatings since 1926. The family business is now run by a third generation and, with a staff of more than 650 employees at its location in Döggingen in the Black Forest, it develops system coatng- solutions for customers worldwide.",1016308
Frequentis,Austria,Wien,1100,Hall 4.1,740,Public Transport,"Every day, millions of people rely on rail to reach their destination safely, punctually and without disruption. 
Frequentis supports these journeys with operations communications and incident management systems that keep rail teams connected, even when conditions change.",1016334
Friedrich Köster GmbH & Co. KG,Germany,Heide,25746,Hall 20,160,Railway Technology,"Foundry (custom castings)
Mechanical Engineering (machining of castings)",1177765
FRIKE electronic AG,Switzerland,Hüntwangen,8194,Hall 24,400,Railway Infrastructure,"More safety in railroad traffic thanks to FRIKE electronic AG! For more than 30 years, the company has been a specialist for mobile signalization and construction site safety. FRIKE electronic AG stands for convincing business models and solutions in the areas of road, rail and air.",1016456
Fritz Becker GmbH & Co. KG,Germany,Brakel,33034,Hall 5.1,130,Interiors,"As a supplier, Becker Brakel is one of the most important moulded wood and moulded fleece manufacturers in the world.",1016469
Fritz Rensmann GmbH & Co. KG,Germany,Dortmund,44379,Hall 5.2,475,Railway Technology,"The Fritz Rensmann GmbH & Co. KG company provides comprehensive rail mainenance services for components for mainline units, rail cars and locomotives. The Services are:

- overhaul and repair of bogies

- repair service for wheel sets with or without gear and electric rail car drive units

- w...",1016471
Fritz STIEFEL GmbH,Germany,Waiblingen,71334,Hall 10.2,310,Railway Infrastructure,"Innovation shapes the future – we produce it.

Fritz STIEFEL GmbH develops and manufactures hydraulic and pneumatic solutions for the global rail industry. With over 60 years of experience, in-house production, and engineering expertise, we deliver reliable fluid power systems for rolling stock, rai",1227486
FRÄNKISCHE Industrial Pipes GmbH & Co. KG,Germany,Königsberg,97486,Hall 15.1,195,Railway Technology,"FRÄNKISCHE INDUSTRIAL PIPES manufactures cable protection solutions for various applications on over 280,000 sqm production area all around the world.
The specialties include corrugated and smooth plastic conduits with up to five layers, braided and knitted hoses as well as matching accessories. ...",1016162
FTB-Filtertechnik Brockmann GmbH & Co.KG,Germany,Veitshöchheim,97209,Hall 3.1,240,Railway Technology,FTB Filtertechnik Brockmann is a leading provider of high-quality replacement filters and filtration concepts that is characterized by over 25 years of experience and state-of-the-art technology. The company supplies filter material according to the EN 45545-2 classification for the railway industry,1016687
FTS Tools,United States of America,Forest,24551,Outdoor Display,O/371,Railway Infrastructure; Outdoor Display,FTS Rail allows track workers to work smarter and not harder with our one of a kind battery-powered track maintenance technology designed around the Milwaukee battery platform and railway track inspection and infrastructure monitoring technology.,1213944
FUCHS Europoles GmbH,Germany,Neumarkt,92318,Hall 22,530,Railway Infrastructure,"FUCHS Europoles is Europe’s leading manufacturer of poles, columns and structural systems. We offer standard and special solutions as well as turnkey systems including all services from consulting to dismantling. We use proven & innovative technologies and materials of concrete, steel and fiberglass",1016697
FUCHS Ingenieurbüro für Verkehrsbau GmbH,Germany,Chemnitz,09116,Hall 7.2b,100,Railway Infrastructure,"Ihr Spezialist für Verkehrsanlagen
Wir planen Gleisanlagen und dazugehörige sicherungstechnische Elemente, Bahnübergänge, Bahnsteiganlagen, ingenieurtechnische Bauwerke, Straßenverkehrsanlagen, Wege und Plätze sowie Abstellhallen und Werkstätten für Schienenfahrzeuge und andere hochbauliche Anla...",1016698
FUCHS LUBRICANTS GERMANY GmbH,Germany,Mannheim,68169,Hall 21,525,Railway Technology,"FUCHS LUBRICANTS GERMANY
We don’t just develop lubricants. For highly complex challenges in a wide range of industries, we develop innovative lubricant solutions that enable the mobility of tomorrow. Our goal: to keep our customers’ world in motion.",1016699
"Fuji Electric Co., Ltd.",Japan,Tokyo,141-0032,Hall 7.2a,100,Railway Technology,"Fuji Electric provides Door Operators and APS for railcars, as well as facilities for substations.
We look forward to seeing you at the JORSA Pavilion (Hall 7.2a).",1016726
Fundiciones del Estanda,Spain,Beasain,20200,Hall 1.2,670,Railway Technology,"Focused in high-performance Steel Casting, Machining and other Solutions for the Railway sector. 

We are one of the main world-wide suppliers of undercarriage components (over 1,000,000 brake discs manufactured, suspensión spring supports, axle boxes…), coupling systems and railroad maintenance.",1016765
Funkwerk Mobility Solutions GmbH,Germany,Karlsfeld,85757,Hall 2.1,530,Railway Infrastructure,"Funkwerk Mobility Solutions – The intelligent backbone of mobility. The company develops connected mobility solutions, ranging from display systems and public address systems to AI-supported operational processes for railways, transport companies and infrastructure operators in the DACH region.",1226342
Funkwerk Systems GmbH,Germany,Kölleda,99625,Hall 4.1,420,Railway Technology,"Funkwerk is the leading provider of innovative train radio and communication systems, passenger information systems and integrated security solutions made in Germany. Since 1982, Funkwerk has been developing and producing train radio technology for railway companies worldwide.",1016778
"FUNOR, SA",Spain,Burgos,09001,Hall 22,820,Railway Infrastructure,Spanish steel foundry producing high-quality cast steel component for railway bogies and rolling stock. Reliable partner for OEM worldwide since 1985,1016780
FUNOSA,Spain,Òdena,08711,Hall 5.2,415,Railway Infrastructure,"FUNOSA is a Barcelona-based ductile iron foundry, Deutsche Bahn DB certified, supplying precision cast components for railway track systems, turnouts and electrification. In-house engineering and quality team. Parts from 120g to 120kg.",1220905
Furka Reibbeläge AG,Switzerland,Breitenbach,4226,Hall 2.2,250,Railway Technology,"Furka Reibbeläge AG is a Swiss industrial company specialising in the development, manufacture and distribution of brake, clutch and sliding linings for industrial applications. Core markets include public transport, cable cars, lift and drive technology, energy and industrial plants.",1016788
Furrer+Frey AG,Switzerland,Bern,3005,Hall 26,250,Railway Infrastructure,Innovation for tomorrow.,1016790
Furrer+Frey Deutschland GmbH,Germany,Berlin,12487,Outdoor Display,O/120,Outdoor Display; Railway Infrastructure,"INNOVATIVE & DYNAMIC: Founded in 2016, we are the first point of contact at three locations - Berlin, Halle, and Essen - when it comes to planning, conversion and new construction, as well as maintenance of overhead contact line systems.",1016791
Furukawa Electric Europe Ltd,United Kingdom,London,W6 7JP,Hall 22,520,Railway Infrastructure,"Green Trough - The world’s most versatile cable trough system.

7,000 tonnes of recycled household plastic waste is used to make Green Trough in one year. Equivalent to 467 million average-sized plastic bottles/containers.",1016795
Futurail,France,Strasbourg,67200,Hall 7.1a,140,Railway Technology; World Innovations; AI Mobility Lab,"Futurail is a Franco-German startup developing the leading autonomy stack for self-driving trains. Together with our customers we empower the industry to make travelling by train even more attractive by offering frequent, reliable, cost-effective and low-carbon transportation. Ultimately contributin",1211160
FUTURE RESOURCES,Belgium,Glaibais,1473,Hall 11.2,260,Railway Technology,,1209698
FZK Mühendislik ve Sınai Yatırımlar AŞ,Türkiye,Kocaeli,41400,Hall 4.2,280,Railway Technology,"FZK manufactures:
•	Freight Wagon Bogies
•	Tram and Metro Bogies
•	Locomotive Bogies
•	Car Body Components
•	Clamps

TSI certified Y25 Bogies for Freight Wagons",1016831
Fédération des Industries Ferroviaires,France,Levallois-Perret,92300,Hall 3.2,100,Railway Infrastructure,"The French Federation of Railway Industries represents 90 direct members and 600+ indirect members across all railway sectors. Recognised by public authorities and industry stakeholders, FIF promotes growth, innovation and collaboration, supporting the French railway industry in France and worlwide.",1226974
G&G Növényvédelmi KFT,Hungary,Szeged,6726,Hall 23,200,Railway Infrastructure,"G&G Plant Protection and Trade Ltd’s main profile is chemical weed control on railway tracks. The applied technology with weed recognition system is currently the most high-tech which assures signinficant savings in terms of chemical, water, time and money.",1016838
G. Zwiehoff GmbH,Germany,Rosenheim,83022,Outdoor Display,O/280; O/280a,Railway Technology; Outdoor Display,"As an expert in the field of road/rail technology, we offer a great variety of vehicles which can be used on roads as well as on rails.



Due to this double profit and the quantity of available attachments, our road/rail vehicles can be used for most different kinds of applications.",1016846
G.W.P. Manufacturing Services AG,Germany,14513 Teltow,14513,"CityCube, Hall B",210,Interiors,"G.W.P. AG manufactures mechanical components, assemblies and industrial enclosures in small to mid volumes—from engineering and prototyping through serial production. Die casting, injection molding, CNC, finishing & assembly. New: Enclonova Corp. in Calgary serving North America.",1209725
"G2B Co,. LTD",South Korea,"pyounhtaek-si, Gyunggi-do",17791,Hall 7.2c,140,Interiors,"G2B Co., Ltd. manufactures advanced smart glass for rail vehicles. Utilizing NSF (nanocrystal switchable film) technology, this glass rapidly controls solar energy transmittance, providing continuous light control, energy savings for heating and cooling, and exceptional durability.",1225905
Gadelius Europe AB,Sweden,Halmstad,301 06,Hall 9,602,Railway Technology,"Gadelius Holding Ltd. is a trading company in Japan The group includes Gadelius Industry K.K. (founded 1890), Gadelius Medical K.K. (founded 1977) and Gadelius Europe AB. Gadelius Holding Ltd.",1016867
Gaelta s.r.o,Slovakia,Trnava,91701,Hall 10.1,230,Public Transport,,1227998
Galeb Signalizacija doo,Serbia,Sabac,15000,Hall 25,400,Railway Infrastructure,,1016898
GALLAND SAS,France,La Lande de Fronsac,33240,Hall 22,350,Railway Infrastructure,"The company GALLAND's purpose is to offer solutions for catenaries, whether they are conventional, high-speed, or intended for urban transportation. Since 1946, our accumulated expertise in the railway sector positions us as specialists in the market.",1016917
Gally s.p.a. s.u.,Italy,VOLPIANO TO,10088,Hall 8.2,430,Railway Technology,"Gally S.p.A., founded in 1949, operates worldwide.
Vargal® self-locking nuts are appreciated and recognized as extremely reliable products.
They are used by the main European railways both in railway rolling stock and track. The main features are: high resistance to vibration, reusability, resi...",1016930
Gamarra S.A.,Spain,Vitoria,01013,Hall 1.2,400,Railway Technology,"GAMARRA, S.A. at a glance: Spanish steel foundry - located at Vitoria Gasteiz
 
• our annual production of 7,000 tons comprises weights of 10 kgs. to 300 kgs. and dimensions of 1,100 x 1,100 mm. 
• customers: European State Railways among which we can mention: DB AG, SNCF, SNCB, SBB, ÖBB, RENFE, ...",1016940
"Gangtai Rail Transit (Shenyang) Material Technology Co., Ltd",China,Shenyang,110000,Hall 22,860,Railway Technology,"We has always been deeply rooted in the field of rail transit and has now developed into a comprehensive high-tech enterprise, specialized and innovative enterprise, and key enterprise in the rail transit industry that integrates research and development, design, production, sales, and full",1226808
GANZ Kapcsoló -és Készülékgyártó Kft,Hungary,Budapest X.,1101,Hall 11.2,200,Railway Technology,,1226920
Ganz Motor Kft.,Hungary,Budapest,1089,Hall 18,440,Railway Technology,"Design, development and manufacturing of diesel engines, railway bogies, axle drives, hydrodynamic transmissions, engines for the railway industry using up to date CAD/CAM and FEA system",1016964
